userid;bookid
18118.0;420714,448186,415148,419219
18136.0;448112
18202.0;408417
18263.0;438933,447045
18330.0;429629
18336.0;399866
18374.0;438933,416677
18401.0;504035
18425.0;399068
18592.0;459195,503033,419577
18610.0;407627
18632.0;444752
18657.0;439155,416677
18670.0;451482
18688.0;439828,439829,443135,443134
18690.0;450021
18701.0;467741
18709.0;429708
18762.0;442770,444300,444308
18775.0;503936
18779.0;439156
18786.0;488051
18801.0;408889,443130
18840.0;428980,414119,414119
18843.0;442158
18845.0;436396
18856.0;406642
18897.0;404662,404662
18937.0;438933,442971,439803,439804,442972,408654
18939.0;438933
18950.0;411330
18955.0;502310
18967.0;458176
18976.0;476578
18977.0;505501,399574
18978.0;481769
18994.0;509072
19031.0;462368,461738
19089.0;426355,495528
19090.0;442973
19091.0;442696,442697
19094.0;507336
19095.0;467741
19098.0;416678
19113.0;439155,416678,439760,439761,442907,442908,407087
19182.0;487253,436678,433711,433721
19188.0;425092,429966,405448
19244.0;439155,416677
19256.0;426443
19280.0;443135
19363.0;507652
19371.0;424075
19400.0;409716
19452.0;399501
19456.0;412054,412054
19461.0;439155,416678
19523.0;480476,459257
19680.0;469959
19716.0;469426,469426,399574,469439,469439
19777.0;461245
19782.0;443124
19821.0;422378
19832.0;417003
19838.0;422378,439698,439697
19861.0;439155,439155,416677,416677
19874.0;471324,471324
19971.0;441422,428746,410090,430438
19989.0;403914
20033.0;421713
20081.0;439829,443135,443134,416590,411838
20107.0;490268
20141.0;454010
20197.0;417720,417720
20243.0;442893,439751,442892,439750
20246.0;439155,416677
20255.0;456986
20265.0;442682
20298.0;433823,439756,488051,412607,412607,442898,439755,439828
20315.0;506482
20337.0;438933,417745
20352.0;438340
20380.0;404497,468803
20398.0;483441,482426
20495.0;489497
20507.0;399501
20523.0;412442,470048
20533.0;436712
20543.0;442907,442908,442908,442771,442771,439118,442770,442770,442772,442772,439119,439119,462300
20554.0;407718
20571.0;417745
20612.0;509878
20622.0;440702
20666.0;432256
20668.0;439943,488061
20683.0;420455
20688.0;493910
20704.0;413976,408156
20726.0;442971,442973
20733.0;417745
20743.0;493738,493738,493738
20745.0;486710
20747.0;400805
20754.0;432256
20805.0;400805,492265,492265
20826.0;403681
20827.0;408669
20834.0;404570
20843.0;467741
20848.0;474641,495248
20854.0;461133,411719
20871.0;443287
20883.0;415055,483176
20936.0;451996,451996,508414
20937.0;439826
20975.0;442771,442771
21050.0;493471
21078.0;476002
21087.0;439825,408861
21137.0;455337,474145
21181.0;441401
21202.0;424492
21206.0;493641
21248.0;481063
21304.0;399565
21325.0;438447,438447
21361.0;410446
21379.0;473954
21396.0;505918,505918
21408.0;504607,449254,449248,500097,399030
21447.0;488051
21497.0;412737
21601.0;460277
21604.0;447457
21630.0;439155
21644.0;501723,430177,467815
21649.0;439717
21699.0;442925
21793.0;428139,506566,461551,461552,461553,442022
21823.0;400287
21841.0;467741
21858.0;439717
21869.0;442670,407742
21895.0;446995
21945.0;441401
21978.0;408271
22003.0;458176
22021.0;475091
22079.0;417745
22232.0;440047,440047
22244.0;504018
22265.0;442907
22278.0;417745,503679
22308.0;443134
22311.0;444799
22386.0;475043
22410.0;502501,419966,490734,498957
22538.0;416679,416678
22545.0;421819
22550.0;492597,435316,447117,445935
22553.0;443248,443242,443240,443238,443232
22561.0;444803
22568.0;442947,439779,429002
22589.0;440702
22601.0;424075,476808
22617.0;461133,486800
22657.0;439818,442972
22660.0;468115,476128
22669.0;427398
22690.0;475132
22697.0;447137,402854,435209
22716.0;400890,415123
22815.0;442683
22817.0;468487
22869.0;405258
22878.0;439741
22897.0;443033
22923.0;437329
22939.0;465194,432772
22944.0;497799,456738
22946.0;409023,439836,447138
22958.0;458166
22997.0;423450
23018.0;413823
23038.0;417290
23060.0;509513
23080.0;443056,440601,440598,440602
23093.0;443277,439846,439847,443275,443275,443281,416674,416674
23102.0;438933,439155
23141.0;428528,428528,465751,466052
23157.0;482675
23160.0;405258
23217.0;503643
23226.0;419398
23229.0;472385
23255.0;461101
23271.0;439751,443039,443040,443032,443037,443035,443033,440035
23276.0;423300
23278.0;399501,399501
23280.0;402856
23284.0;503643
23285.0;442713
23303.0;439755
23315.0;414348
23322.0;443124,442898
23343.0;439155,416677,417745
23345.0;428471
23347.0;405258
23369.0;506979
23389.0;439155,439155,416678,416678
23399.0;416692
23449.0;423114
23462.0;429145,399094
23476.0;494535
23478.0;439155
23495.0;442674,442673
23528.0;407087
23558.0;472325
23561.0;413241
23577.0;428252,428252,411742,411742
23586.0;439488
23603.0;458963
23608.0;458039
23612.0;408292
23614.0;442898,439713
23615.0;439756
23619.0;431747,446995
23652.0;438593,499841
23656.0;426611
23693.0;438593
23706.0;443104
23724.0;439155,416677,416678,440047,439706,440401,440040,440728,440731,440732
23728.0;432256
23746.0;439155
23749.0;438955,439829,443135,443134,408228
23834.0;439155,439155,416677,416677,439760,442908,407087,439118,442770,439804,439804,442972,442973,408654,439119
23835.0;439155,416678,407761,439779
23854.0;450532
23876.0;467741
23884.0;416678
23886.0;399966
23896.0;408310
23907.0;439155,416677,439751,407231
23923.0;439760,439011,439010,439803,439804,442972,442973,408654
23954.0;417327
23957.0;439718
23963.0;442662
23966.0;454222
23970.0;426896
23984.0;468963
23997.0;439818
24003.0;439155,416678,491042,439718,439717
24006.0;480268,438738,438373,438314
24015.0;477194
24018.0;466855
24023.0;448755
24039.0;419589
24066.0;403769,417723
24104.0;491086
24114.0;468505
24116.0;439155,439155,439155,439155,416678,416678,416678,416678,440047,440047,440047,440034,440034,439706,439706,439706,439832,408899,440040,439831
24120.0;442947,439717,503767
24121.0;442764,439096,439094,440601,440598,440602
24123.0;439155
24148.0;472367,411977
24187.0;416677
24218.0;439155
24241.0;436319,463484
24254.0;417781,431848
24260.0;429966,429966
24262.0;499731,499660
24310.0;443277,443277,484081
24315.0;408277
24318.0;426355
24326.0;442893,439835,409023,439751,442892,439750
24329.0;403917,434061
24335.0;440572,440577,443032,440567,440565,440564
24359.0;409140
24370.0;501192,412629
24384.0;492300
24401.0;442772
24412.0;422556
24418.0;455337
24474.0;426443
24478.0;442764,442765,439096,439094
24489.0;465381
24533.0;439825
24548.0;404799
24591.0;443157
24599.0;401618,410571,435806
24620.0;421868
24626.0;507168,507168
24639.0;432256
24651.0;439155,439155,439155,439155,439155,439155,416677,416677,416677,416677,416677,416677,416678,416678,416678,416678,416678,416678,440047,440047,440047,440047,440047,440047,440036,440036,440036,440036,440036,440036,439706,439706,439706,439706,439706,439706,443243,443248,443240,443238
24655.0;417745,417745
24661.0;507084,426923,459675
24663.0;442764,442765
24685.0;468045
24686.0;456288
24713.0;426355
24731.0;463516
24737.0;443125
24744.0;503643
24766.0;439155,439155,416678
24794.0;462307
24917.0;440728,440731,440732
24920.0;461101,509973,474145,474030
24931.0;431346
24933.0;480236
24976.0;424421
24991.0;438933,439155,416679,442893,442905,439751,439760,442947,439761,442907,442908,407087,442892,439750,442894,407009,407761,439779,442946,442948,442948,439784
25001.0;491012,491012,463822,463822
25002.0;470524,474394,441354,439193
25016.0;486713
25020.0;438933,438933,438933,438933,438933,438933,438933,438933,438933,439706,439706,439706,439706
25027.0;438933,439155,416678,416678,416678,416678,416678,416678,440047,440047,440047,440047,440047,440047,440047,440034,439706
25033.0;438933,438933,439155,439155,442893,439706,439706,439751,442894,407009
25040.0;430192,442834,442833,440069,440061,440059
25049.0;417745
25050.0;417745
25103.0;490021,406522,430993,498857
25106.0;482919
25130.0;439155,416678
25133.0;509009
25135.0;421052
25149.0;439155,416678
25164.0;439155,416677,439760,442771,439118,442770,442972,442973,442772,439119
25173.0;442905,442907,442907,442908,442908
25210.0;472544
25215.0;406642
25217.0;499585
25221.0;442563
25229.0;442971,442973,408654
25249.0;476707
25259.0;449610
25276.0;443039,443040,443037,443035,443033,491012
25320.0;505395,502828
25346.0;439826,439825,443125
25371.0;440042
25388.0;405857
25404.0;406298
25410.0;443151,443156
25451.0;408110
25484.0;432256
25487.0;439826,443124,439825,443125,443127,408861
25511.0;426355,471440
25565.0;438933
25606.0;402196
25632.0;418654
25642.0;453518
25650.0;422558
25718.0;472367
25778.0;439760
25779.0;505784,505784
25790.0;439155,416677
25803.0;471440
25807.0;483098
25811.0;421819,477224
25814.0;418614
25816.0;443876
25820.0;451914
25828.0;442713
25829.0;408889
25883.0;435026
25888.0;404799
25909.0;439728,439731,442701,442703,442702,439727
25961.0;510364
25982.0;442657
25994.0;422854
25999.0;438783
26002.0;422995
26018.0;437791
26053.0;440741
26058.0;471576
26089.0;442845,423810
26093.0;404324,419429
26124.0;460586
26138.0;503470,503470
26139.0;413021
26150.0;439118
26188.0;419172,412365
26207.0;469548
26262.0;439648,439648
26311.0;510469
26342.0;404143
26347.0;421483
26350.0;442765,503816
26365.0;442925
26386.0;443178
26393.0;440830
26400.0;436319,484767,468524,485835
26469.0;500302
26474.0;452836,452807
26524.0;484101,484101,484097,484097
26550.0;442971,408654,439845
26553.0;411155
26559.0;447139,447139
26565.0;442772
26579.0;483398
26599.0;427340
26606.0;502310,489497
26630.0;412054
26644.0;439836,447137,447139,447138
26657.0;489799
26662.0;399866,399866,399866
26665.0;413072,440267
26678.0;438933,439155,416677,416677
26679.0;502474
26710.0;438933,439155,416677,416679
26724.0;468040,461133
26729.0;510311
26746.0;442898,439645
26776.0;481761
26779.0;432256
26782.0;507148,469455
26801.0;442715,439845,439842
26806.0;442682,442683,442681,439001,439000
26813.0;470601
26876.0;479138,509792
26885.0;418128
26889.0;438933,439155,440047,445127,442674,419689
26931.0;502474
26932.0;439826
26968.0;432479
26999.0;443117
27016.0;470993,434529
27055.0;425836
27057.0;438318
27115.0;470455,494074,406544
27210.0;507359,500072
27222.0;507359,500072
27231.0;439155,416677,440047,439751,407009,443074,440659,440658,440007,440009,442831,442832,440008,442830,434517
27249.0;401903,401903
27289.0;439155,416677
27300.0;403070
27302.0;443161,443163
27305.0;439155,416677,416678
27311.0;401488
27318.0;438933,439155,439155,439155,439155,439155,439155,416678,416678,440047,440034,440034,440034,440034,439706,439706,439706,439706,440029,440031
27371.0;439756,442897,442898,439755,442896
27429.0;473658
27466.0;399083
27467.0;504218,470566
27497.0;477718
27525.0;439756
27533.0;439155
27540.0;497538
27544.0;467769
27600.0;442893,442894
27609.0;443175
27629.0;423737
27630.0;508198
27656.0;440047,442973
27691.0;504231
27697.0;508198
27722.0;442921,439769,407231
27736.0;442703,442702
27742.0;503785
27747.0;405258
27835.0;482471
27882.0;487532,487629
27966.0;456376
27971.0;477695
28010.0;438902
28021.0;442772,405857,413217,471440
28032.0;439850
28036.0;442677,439645,442680,439657,440007,440007,442831
28048.0;467741
28058.0;503643
28062.0;433898
28073.0;447759
28075.0;439810,443027
28097.0;443175
28103.0;444756
28115.0;444872,403769
28136.0;478122
28137.0;444986
28146.0;497799
28162.0;436119,498680
28192.0;417745
28210.0;442907,442972,442972,461920,445516
28218.0;437755
28219.0;426013
28236.0;438933,438933
28253.0;442971,442972
28256.0;509381
28277.0;478544
28286.0;454885
28308.0;416677
28311.0;489497
28312.0;410075
28321.0;432102
28324.0;455500
28326.0;408277,399565,429520
28408.0;416677,416679,431939
28428.0;427175,406257
28478.0;439155,416677,416678,440047,440036,439706
28487.0;439760,439761,407087
28492.0;443124
28552.0;475043,475043
28554.0;438447
28564.0;447147
28581.0;407006
28591.0;442770,442772
28595.0;465805
28600.0;439835,409023
28606.0;465893,485841,466190
28628.0;449610,500215,415803
28647.0;442750,442749,439701,439704,442751
28651.0;428706
28669.0;461133
28684.0;443275,443281
28703.0;442771
28739.0;439118
28751.0;474531
28780.0;468235,468235,457012,457012
28802.0;440491
28821.0;399094,440719
28827.0;463536
28841.0;481471
28878.0;442563,442563
28887.0;487244
28890.0;439943
28891.0;442764,442765,439096,439094
28893.0;424083,424083
28899.0;488625
28911.0;439155,439155,439155,439155,439155,416677,416677,416677,416677,416677,416678,416678,416678,416678,416678,440047,440047,440047,440047,440047,440036,440036,440036,440036,440036,439706,439706,439706,439706,439706,442845,442846,439740,438997,442678,442679,443248,443242,443232,440601,440598,438998,440602,442750,442749,442751
28934.0;410393
29022.0;470993
29043.0;471440,430648
29070.0;400824
29075.0;463233
29082.0;411979
29087.0;439828,439829
29090.0;490641
29110.0;478501,478479
29114.0;453256
29117.0;404570
29120.0;399708,399384
29147.0;412442,470048
29223.0;495587
29225.0;439756,442897,442675,442898,442677,442676,439755,439645,442896,439644
29234.0;442832,425906
29235.0;442905,442905,439832,439832
29246.0;438933,439155
29353.0;476808,498013
29354.0;426954
29359.0;442771,439118,442770,439119
29366.0;452483
29420.0;428712,428712
29428.0;504842
29448.0;442908
29452.0;409946
29453.0;458316
29473.0;447139
29486.0;442921
29490.0;402430
29499.0;439825
29511.0;442946,442948,439784
29549.0;442907
29578.0;435975
29581.0;443014,443016,443013
29601.0;492300,492300
29618.0;411658
29638.0;436883
29684.0;470524,468963
29721.0;443134
29823.0;446849,446849
29907.0;442695
29927.0;429706
30013.0;409580
30018.0;443121
30021.0;422162,422162
30100.0;442675,442672
30101.0;509381
30115.0;416679,416678,442764,442765,442763,439096,439096,439097,439094,439094,508843,508843
30130.0;426990
30141.0;439825
30193.0;443074,440659,440658,427770
30262.0;399099
30276.0;482909
30290.0;442142
30292.0;400805,492210
30304.0;399065
30321.0;487945
30328.0;417202
30344.0;481360
30346.0;494897,419966,399541
30347.0;426355
